player,total_runs,balls_faced,strike_rate
GH Vihari,284,331,85.8
VVS Laxman,282,271,104.06
A Ashish Reddy,280,196,142.86
B Chipli,280,256,109.38
MJ Lumb,278,198,140.4
PBB Rajapaksa,277,201,137.81
PK Garg,273,247,110.53
MJ Guptill,271,197,137.56
R Sathish,270,236,114.41
M Kaif,259,258,100.39
JO Holder,259,217,119.35
HV Patel,249,214,116.36
Atharva Taide,247,177,139.55
K Gowtham,247,159,155.35
SM Katich,241,191,126.18
BCJ Cutting,238,146,163.01
MD Mishra,237,213,111.27
Harpreet Brar,233,201,115.92
A Manohar,231,181,127.62
WG Jacks,230,133,172.93
D Brevis,230,176,130.68
R Ravindra,222,146,152.05
Mohammad Nabi,221,157,140.76
K Goel,218,239,91.21
AA Jhunjhunwala,217,218,99.54
R Dhawan,210,188,111.7
UT Yadav,208,211,98.58
K Rabada,206,207,99.52
CA Ingram,205,183,112.02
PD Collingwood,203,159,127.67
KS Bharat,199,168,118.45
JC Archer,199,132,150.76
SK Warne,198,219,90.41
JD Unadkat,197,170,115.88
SP Fleming,196,171,114.62
AS Raut,194,172,112.79
BJ Rohrer,193,146,132.19
Salman Butt,193,172,112.21
YV Takawale,192,183,104.92
HC Brook,190,159,119.5
Ashutosh Sharma,189,118,160.17
Bipul Sharma,187,124,150.81
Kuldeep Yadav,183,224,81.7
FY Fazal,183,179,102.23
SD Hope,183,125,146.4
MS Wade,183,185,98.92
Sikandar Raza,182,143,127.27
AC Voges,181,143,126.57
CR Brathwaite,181,120,150.83
S Gopal,180,173,104.05
AB Agarkar,179,160,111.87
MF Maharoof,177,124,142.74
C Munro,177,144,122.92
DH Yagnik,170,142,119.72
Ramandeep Singh,170,106,160.38
CM Gautam,169,158,106.96
MG Johnson,167,168,99.4
DW Steyn,167,163,102.45
MN van Wyk,167,135,123.7
PA Reddy,164,167,98.2
A Raghuvanshi,163,109,149.54
N Jagadeesan,162,155,104.52
MN Samuels,161,174,92.53
R McLaren,159,178,89.33
RE van der Merwe,159,144,110.42
AD Hales,148,119,124.37
D Wiese,148,105,140.95
SM Pollock,147,116,126.72
S Vidyut,145,115,126.09
Sachin Baby,144,123,117.07
N Saini,140,143,97.9
Naman Dhir,140,84,166.67
Anmolpreet Singh,139,117,118.8
S Anirudha,136,121,112.4
SB Styris,131,134,97.76
W Jaffer,130,129,100.78
RD Chahar,129,127,101.57
Kamran Akmal,128,78,164.1
TK Curran,127,108,117.59
P Dogra,127,141,90.07
UT Khawaja,127,105,120.95
SS Prabhudessai,126,113,111.5
M Morkel,126,93,135.48
MC Juneja,125,134,93.28
BB Samantray,125,116,107.76
B Lee,124,102,121.57
MM Sharma,124,137,90.51
Harpreet Singh,123,119,103.36
AB McDonald,123,103,119.42
DL Vettori,121,118,102.54
NK Patel,121,124,97.58
AC Blizzard,120,91,131.87
TG Southee,120,108,111.11
MW Short,117,99,118.18
RJ Harris,117,112,104.46
Misbah-ul-Haq,117,82,142.68
Z Khan,117,141,82.98
KK Cooper,116,70,165.71
R Shepherd,115,68,169.12
Aman Hakim Khan,115,109,105.5
DJM Short,115,102,112.75
M Kartik,113,109,103.67
DJ Harris,111,103,107.77
Mohammed Siraj,109,122,89.34
JDP Oram,106,110,96.36
LJ Wright,106,63,168.25
SE Rutherford,106,107,99.07
MA Starc,105,109,96.33
DS Kulkarni,104,113,92.04
RJ Quiney,103,105,98.1
MS Gony,99,76,130.26
SD Chitnis,99,92,107.61
MJ Clarke,98,96,102.08
CJ Ferguson,98,119,82.35
PN Mankad,97,75,129.33
Arshad Khan,96,67,143.28
JDS Neesham,92,93,98.92
PR Shah,92,97,94.85
DJ Jacobs,92,101,91.09
RT Ponting,91,129,70.54
S Rana,91,82,110.98
AJ Tye,91,79,115.19
AD Nath,90,99,90.91
Iqbal Abdulla,88,86,102.33
SL Malinga,88,103,85.44
AP Majumdar,87,77,112.99
Ankit Sharma,87,69,126.09
MJ McClenaghan,85,73,116.44
TA Boult,83,82,101.22
RE Levi,83,74,112.16
NM Coulter-Nile,82,75,109.33
Shahid Afridi,81,46,176.09
WPUJC Vaas,81,73,110.96
CJ Jordan,81,81,100.0
LA Carseldine,81,71,114.08
DL Chahar,80,61,131.15
RV Patel,80,76,105.26
AD Mascarenhas,79,79,100.0
CR Woakes,78,77,101.3
JR Philippe,78,80,97.5
IR Jaggi,76,100,76.0
B Akhil,76,57,133.33
TR Birt,75,59,127.12
Mohammed Shami,74,82,90.24
RR Sarwan,73,78,93.59
M Klinger,73,78,93.59
PWH de Silva,72,80,90.0
MJ Santner,70,77,90.91
J Suchith,70,62,112.9
Vivrant Sharma,69,49,140.82
AA Bilakhia,69,88,78.41
JJ Bumrah,68,80,85.0
LH Ferguson,68,48,141.67
RR Powar,67,64,104.69
M Jansen,66,71,92.96
R Sharma,66,77,85.71
HR Shokeen,66,67,98.51
KA Jamieson,65,55,118.18
GD Phillips,65,55,118.18
WD Parnell,65,86,75.58
Mohammad Hafeez,64,84,76.19
Anirudh Singh,63,69,91.3
A Flintoff,62,57,108.77
SP Jackson,61,57,107.02
S Aravind,59,59,100.0
MG Bracewell,58,49,118.37
I Sharma,57,71,80.28
Vishnu Vinod,56,58,96.55
WA Mota,56,76,73.68
M Rawat,55,70,78.57
Sandeep Sharma,54,73,73.97
A Chopra,53,75,70.67
DJ Willey,53,64,82.81
Shoaib Malik,52,49,106.12
RP Singh,52,78,66.67
